"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-01","53","31","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-02","53","31","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-03","53","31","39"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-04",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-05",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-06","55","3","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-07","57","31","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-08",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-10","58","31","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-11","67","44","63"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-13","67","44","63"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-14","67","44","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-15","69","44","67"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-16","69","44","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-17","69","43","65"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-18","69","44","64"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-19","74","52","65"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-20","69","51","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-21","54","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-22","54","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-23","54","42","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-24",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-25",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-26",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-28","54","37","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-29","54","37","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-30","55","37","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-01-31","57","37","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-01","57","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-02","56","51","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-03","54","42","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-04","54","43","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-05","59","41","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-06","67","42","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-07","67","41","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-08","61","50","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-10","67","42","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-11","67","42","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-12","67","41","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-13",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-14","67","41","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-15","66","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-16","53","44","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-17",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-18","53","44","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-19","59","42","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-20","59","42","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-21",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-22",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-23","67","42","63"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-24","77","46","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-25","77","46","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-26",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-02-28","77","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-02",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-03",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-04",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-05","58","43","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-06","58","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-07","58","41","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-08","59","42","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-10","54","43","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-11","56","40","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-12","56","41","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-13","56","40","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-14","56","40","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-15","56","40","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-16","56","40","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-17","52","46","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-18","54","48","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-19","54","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-20","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-21","55","42","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-22","55","45","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-23","57","44","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-24","66","47","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-25","66","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-26","68","43","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-27","68","42","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-28",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-29","64","46","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-30","66","44","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-31","76","42","76"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-01","76","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-02","76","46","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-03",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-04","74","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-05","76","46","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-06","52","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-07","52","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-08","53","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-09","52","38","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-10",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-11","57","37","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-12","56","36","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-13","57","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-14","57","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-16",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-17",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-18",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-19","57","37","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-20",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-21","54","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-22","54","48","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-23","54","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-24","57","48","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-25","57","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-26","57","45","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-28","58","44","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-29","59","44","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-30",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-02","59","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-03","59","49","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-04","59","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-05",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-06",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-07",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-08",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-09","60","47","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-10","59","49","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-11",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-13","57","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-14","57","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-16","57","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-17","52","49","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-18","58","48","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-19","54","49","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-20","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-21","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-22","54","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-23",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-24",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-25",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-26",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-28","58","48","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-29","57","47","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-30","57","37","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-31","58","38","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-01","58","38","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-02","58","37","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-03","58","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-04","58","37","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-05",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-06","59","37","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-07","55","51","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-08","56","50","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-10","58","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-11","60","50","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-13",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-14",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-16","62","50","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-17","62","50","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-18","62","50","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-19","62","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-20","62","50","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-21","61","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-22",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-23",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-24","61","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-25","63","54","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-26","63","54","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-28",,,
